订单编号,平台订单号,商品图片,SKU列表,货代,货代渠道,快递单号,订单总额,称重重量,结算重量,实际到款金额,实际采购成本,实际快递费用,包装费,实际毛利润,付款日期,店铺名,发货时间,国家,结算运费
366898,501752598112517,http://g01.a.alicdn.com/kf/UT8PsWLX5RXXXagOFbXL.jpg,SKTN054-34white3*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM302939859CN,186.29,664,,176.98,92.15,,0.5,84.33,2017-03-04 10:50:10,NH,2017-03-09 12:59:26,Russian Federation,61.12
367048,82403886686831,http://g01.a.alicdn.com/kf/UT8SEiRX8tXXXagOFbX4.jpg,BHBC054red*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM304664508CN,193.375,503,,183.71,98.0,,0.5,85.21,2017-03-07 13:02:23,NH,2017-03-10 16:17:23,Canada,57.21
367287,82491046995527,http://g04.a.alicdn.com/kf/UT8c9yZXWlcXXagOFbX4.jpg,BHBC054red*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM311356927CN,193.375,428,,183.71,98.0,,0.5,85.21,2017-03-11 17:33:57,NH,2017-03-15 16:29:25,Canada,51.96
366832,82309800633546,http://g02.a.alicdn.com/kf/UT8h5KFX70aXXagOFbXy.jpg,SSKD225-43black9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT919054067CN,155.025,582,,147.27,61.0,,0.5,85.77,2017-03-03 07:44:57,NH,2017-03-08 16:46:38,United States,52.65
367185,82589752759312,http://g02.a.alicdn.com/kf/UT8i6qYX88aXXagOFbXo.jpg,SSKD222-39orange7*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM308413496CN,148.265,0,,140.85,54.5,,0.5,85.85,2017-03-10 06:05:37,NH,2017-03-13 15:35:36,France,22.0
367187,82480532212078,http://g01.a.alicdn.com/kf/UT8l41WX9xaXXagOFbXo.jpg,DSBC010-38blackgold6*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT941884583CN,132.73,0,,126.09,39.71,,0.5,85.88,2017-03-09 20:28:06,NH,2017-03-13 15:35:46,United States,14.6
366848,501743873783984,http://g01.a.alicdn.com/kf/UT84ptFX9lXXXagOFbXF.jpg,SSKD023-43black9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM300476345CN,148.2,649,,140.79,54.0,,0.5,86.29,2017-03-03 14:45:28,NH,2017-03-08 16:46:25,France,67.43
366041,501582570450111,http://g03.a.alicdn.com/kf/UT8HEqiX0JaXXagOFbXW.jpg,BCRK173blueL*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM286537854CN,185.25,532,,175.99,88.0,,0.5,87.49,2017-02-19 09:56:42,NH,2017-03-01 15:34:58,France,59.24
367659,82631080953146,http://g02.a.alicdn.com/kf/UT8Z5JGX6xXXXagOFbXH.jpg,CSRB051blue*2,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM316671979CN,149.175,436,,141.72,53.08,,0.5,88.14,2017-03-18 11:21:10,NH,2017-03-20 15:24:20,Russian Federation,42.88
366917,82494074079960,http://g02.a.alicdn.com/kf/UT8LY5NX5xXXXagOFbX8.jpg,SSDE139-44green9.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT923106826CN,173.94,706,,165.24,74.0,,0.5,90.74,2017-03-05 13:38:40,NH,2017-03-09 12:57:38,United States,61.95
367202,82599316488656,http://g02.a.alicdn.com/kf/UT89CaRX9hXXXagOFbXJ.jpg,SSDE139-43red9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM307850288CN,173.94,0,,165.24,73.0,,0.5,91.74,2017-03-10 14:11:27,NH,2017-03-13 15:35:51,Canada,22.0
367263,501832602820860,http://g02.a.alicdn.com/kf/UT8JE5KX6hXXXagOFbXt.jpg,SSDE139-43red9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM311081621CN,173.94,715,,165.24,73.0,,0.5,91.74,2017-03-12 11:54:46,NH,2017-03-15 16:30:00,France,72.05
366749,501733142086112,http://g01.a.alicdn.com/kf/UT8GDJtXZVaXXagOFbXE.jpg,DSBC046-39black6.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM298889147CN,168.285,711,,159.87,67.25,,0.5,92.12,2017-03-02 09:59:27,NH,2017-03-06 16:12:04,France,71.77
367539,501910589105600,http://g02.a.alicdn.com/kf/UT8hrjbXWBXXXagOFbXD.jpg,SSKD222-38yellow6.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM317006805CN,160.225,465,,152.21,56.0,,0.5,95.71,2017-03-16 06:09:57,NH,2017-03-20 15:23:40,Russian Federation,45.2
366521,501655881186327,http://g01.a.alicdn.com/kf/UT8qrlUX9lXXXagOFbXk.jpg,DSBC048-38black6*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM296146711CN,178.36,684,,169.44,72.84,,0.5,96.1,2017-02-27 14:10:37,NH,2017-03-04 15:48:24,France,69.88
367965,82812342626549,http://g02.a.alicdn.com/kf/UT8UpCaX6XXXXagOFbXO.jpg,SSKD023-39green7*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM326369771CN,163.02,552,,154.87,56.0,,0.5,98.37,2017-03-24 05:29:59,NH,2017-03-27 15:58:13,Russian Federation,52.16
366947,501753481381226,http://g01.a.alicdn.com/kf/UT8WBKPX10XXXagOFbXd.jpg,SSJS203-42white8.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM307470024CN,177.385,0,,168.52,69.5,,0.5,98.52,2017-03-06 06:19:53,NH,2017-03-13 15:36:12,France,22.0
367932,501962767119230,http://g02.a.alicdn.com/kf/UT8LY5NX5xXXXagOFbX8.jpg,SSDE139-43green9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM326209797CN,185.12,700,,175.86,76.0,,0.5,99.36,2017-03-23 00:03:49,NH,2017-03-27 15:58:02,Russian Federation,64.0
367365,82535930351368,http://g02.a.alicdn.com/kf/UT87YhKX9XXXXagOFbXl.jpg,SKTN001-30skyblue12*1<br/>SKTN001-36black3*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM313808735CN,200.07,835,,190.07,90.0,,0.5,99.57,2017-03-12 11:40:54,NH,2017-03-17 16:01:03,Ukraine,80.45
367943,82767090116081,http://g02.a.alicdn.com/kf/UT8PyYkX1FcXXagOFbXb.jpg,SSJS203-40blue7.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW051054175CN,181.61,730,,172.53,72.0,,0.5,100.03,2017-03-23 14:18:04,NH,2017-03-27 15:58:32,United States,63.75
366980,82405588235560,http://g02.a.alicdn.com/kf/UT8j7xOXWRXXXagOFbXd.jpg,SSKD024-43red9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM304346898CN,167.765,589,,159.38,56.0,,0.5,102.88,2017-03-05 01:57:58,NH,2017-03-10 15:41:06,France,63.23
367081,82392762634185,http://g02.a.alicdn.com/kf/UT8j7xOXWRXXXagOFbXd.jpg,SSKD024-44red9.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM307366755CN,167.765,0,,159.38,56.0,,0.5,102.88,2017-03-07 02:24:34,NH,2017-03-13 15:36:18,France,22.0
368008,82884430958950,http://g03.a.alicdn.com/kf/UT8T.DoX08bXXagOFbXr.jpg,DSBC048-37black5.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW064900245CN,183.105,662,,173.95,67.25,,0.5,106.2,2017-03-24 21:50:38,NH,2017-03-30 16:00:17,United States,58.65
367592,82645057676141,http://g03.a.alicdn.com/kf/UT8l.mOXZNbXXagOFbXh.jpg,OBDS037C2wolfbrownOther*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW018239635CN,189.67,878,,180.19,71.0,,0.5,108.69,2017-03-17 12:47:54,NH,2017-03-20 15:23:00,United States,74.85
368069,82782242140706,http://g02.a.alicdn.com/kf/UT8j7xOXWRXXXagOFbXd.jpg,SSKD024-44red9.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW061871730CN,176.345,625,,167.53,54.5,,0.5,112.53,2017-03-26 17:02:56,NH,2017-03-29 15:45:22,United States,55.88
367899,82800706544064,http://g02.a.alicdn.com/kf/UT8b52nXWpaXXagOFbXg.jpg,OBDS037C3jungledigitalOther*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM326209770CN,195.13,910,,185.37,71.0,,0.5,113.87,2017-03-23 11:36:11,NH,2017-03-27 15:58:38,Ukraine,85.7
367331,82571941654454,http://g03.a.alicdn.com/kf/UT8MxW4X0dXXXagOFbXq.jpg,MSST076-45khaki9.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT942170844CN,190.06,0,,180.56,64.67,,0.5,115.39,2017-03-12 21:57:43,NH,2017-03-13 15:35:41,United States,14.6
367051,82537916288994,http://g02.a.alicdn.com/kf/UT83yqQX3taXXagOFbXm.jpg,MSST089-43brown8.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT928754178CN,192.205,960,,182.59,66.34,,0.5,115.75,2017-03-07 16:24:35,NH,2017-03-10 15:40:49,United States,81.0
367078,501771858340504,http://g03.a.alicdn.com/kf/UT8cBmPX5BaXXagOFbXo.jpg,OBDS037C4desertdigitalOther*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM305575985CN,197.34,884,,187.47,71.0,,0.5,115.97,2017-03-07 04:19:52,NH,2017-03-11 14:49:51,Russian Federation,78.72
367469,501886538599883,http://g01.a.alicdn.com/kf/UT8sD8PX1dXXXagOFbXl.jpg,MSST076-43redorange8.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM315055091CN,190.06,1043,,180.56,62.5,,0.5,117.56,2017-03-15 11:30:41,NH,2017-03-18 14:59:08,France,95.01
366457,82283741768068,http://g02.a.alicdn.com/kf/UT87rpyX6JXXXagOFbXl.jpg,MSST086-37grey5.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT884329705CN,204.295,915,,194.08,74.67,,0.5,118.91,2017-02-26 14:34:48,NH,2017-03-01 15:34:53,United States,77.62
366396,82325918205110,http://g02.a.alicdn.com/kf/UT8Y9CmX74XXXagOFbXt.jpg,BGRB058blueXL*1<br/>MSST090-41grey7.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM294043011CN,225.55,1084,,214.27,92.29,,0.5,121.48,2017-02-24 22:34:03,NH,2017-03-03 15:35:05,Ukraine,97.88
367623,82597248101921,http://g01.a.alicdn.com/kf/UT8qs5.XVJcXXagOFbXY.jpg,MSJN067-44blue9.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW019842303CN,250.965,980,,238.42,115.0,,0.5,122.92,2017-03-16 20:17:45,NH,2017-03-20 15:23:36,United States,82.5
368121,502034501290225,http://g01.a.alicdn.com/kf/UT8DvfuX0RbXXagOFbXp.jpg,OPJJ069womenblackM*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM333991448CN,223.405,499,,212.23,87.5,,0.5,124.23,2017-03-28 00:38:41,NH,2017-03-31 15:50:16,Russian Federation,47.92
367157,82512545021066,http://g03.a.alicdn.com/kf/UT8oYeWX9FaXXagOFbXH.jpg,MSST086-44brownorange9*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT940577927CN,209.95,0,,199.45,74.4,,0.5,124.55,2017-03-09 17:48:51,NH,2017-03-13 15:35:31,United States,14.6
366608,82267403012975,http://g01.a.alicdn.com/kf/UT8V0RiX9hXXXagOFbXo.jpg,MSJN067-40orange7.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT900296000CN,250.965,870,,238.42,112.0,,0.5,125.92,2017-02-28 22:26:21,NH,2017-03-04 15:48:04,United States,74.25
366850,501730578602010,http://g03.a.alicdn.com/kf/UT8H.ppX5FXXXagOFbXb.jpg,MSJN060-42orange8.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM297781444CN,257.4,1077,,244.53,118.0,,0.5,126.03,2017-03-03 15:18:21,NH,2017-03-06 16:12:11,France,97.39
368473,82938766799256,http://g01.a.alicdn.com/kf/UT837x1XZNXXXagOFbXQ.jpg,MSST076-43darkgreen8.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM334658165CN,202.02,1046,,191.92,62.5,,0.5,128.92,2017-03-30 12:30:00,NH,2017-03-31 15:49:29,Russian Federation,91.68
366580,501694174756180,http://g02.a.alicdn.com/kf/UT8ez0.X20aXXagOFbXs.jpg,DSBC001-38black6*1<br/>DSBC001-40black7*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM294726086CN,216.32,897,,205.5,75.55,,0.5,129.45,2017-02-28 20:52:47,NH,2017-03-03 15:34:56,Russian Federation,79.76
367017,82417770469328,http://g02.a.alicdn.com/kf/UT8b2BkX9taXXagOFbXO.jpg,MSJN060-41orange8*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM304346875CN,261.43,966,,248.36,118.0,,0.5,129.86,2017-03-06 23:56:25,NH,2017-03-10 15:41:16,Canada,89.62
367004,82399881556885,http://g04.a.alicdn.com/kf/UT8GWaRXWpaXXagOFbXp.jpg,OBDS019black30-40L*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM304346884CN,203.125,1067,,192.97,62.0,,0.5,130.47,2017-03-07 09:57:22,NH,2017-03-10 15:41:25,France,96.69
368062,82687224202328,http://g01.a.alicdn.com/kf/UT82.nCXS0aXXagOFbXx.jpg,OCMG001ArmyGreenXL*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW054515477CN,231.595,1011,,220.02,88.0,,0.5,131.52,2017-03-26 08:51:31,NH,2017-03-28 15:55:42,United States,84.82
367528,82591360829272,http://g02.a.alicdn.com/kf/UT8SBnaX7VXXXagOFbX7.jpg,MSST086-42royalblue8*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW019842325CN,219.96,1134,,208.96,75.0,,0.5,133.46,2017-03-16 12:16:38,NH,2017-03-20 15:23:23,United States,94.05
367283,82625598805231,http://g03.a.alicdn.com/kf/UT8g_0OX7RaXXagOFbXa.jpg,DSBC001-41red7.5*1<br/>DSBC001-41white7.5*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LT939294490CN,220.87,0,,209.83,75.46,,0.5,133.87,2017-03-12 03:40:50,NH,2017-03-13 15:36:02,United States,14.6
